Date, Open, High, Low, Close
05/25/22, 6.6536, 6.6979, 6.6536, 6.6928
05/24/22, 6.6506, 6.6800, 6.6502, 6.6537
05/23/22, 6.6930, 6.6932, 6.6465, 6.6507
05/20/22, 6.7125, 6.7317, 6.6687, 6.6930
05/19/22, 6.7545, 6.7687, 6.7121, 6.7133
05/18/22, 6.7377, 6.7575, 6.7376, 6.7545
05/17/22, 6.7862, 6.7862, 6.7240, 6.7377
05/16/22, 6.7890, 6.8026, 6.7818, 6.7862
05/13/22, 6.7870, 6.8121, 6.7777, 6.7890
05/12/22, 6.7211, 6.7963, 6.7211, 6.7870
05/11/22, 6.7347, 6.7372, 6.7128, 6.7217
05/10/22, 6.7308, 6.7403, 6.6910, 6.7347
05/09/22, 6.6665, 6.7310, 6.6665, 6.7306
05/06/22, 6.6557, 6.6951, 6.6555, 6.6665
05/05/22, 6.6083, 6.6558, 6.6019, 6.6557
05/04/22, 6.6083, 6.6086, 6.6078, 6.6083
05/03/22, 6.6085, 6.6089, 6.6078, 6.6083
05/02/22, 6.6085, 6.6087, 6.6078, 6.6082
04/29/22, 6.6263, 6.6505, 6.5846, 6.6085
04/28/22, 6.5605, 6.6307, 6.5605, 6.6263
04/27/22, 6.5568, 6.5636, 6.5484, 6.5605
04/26/22, 6.5594, 6.5620, 6.5270, 6.5568
04/25/22, 6.5017, 6.5774, 6.5013, 6.5594
04/22/22, 6.4506, 6.5067, 6.4492, 6.5017
04/21/22, 6.4192, 6.4519, 6.4090, 6.4506
04/20/22, 6.3935, 6.4193, 6.3931, 6.4192
04/19/22, 6.3672, 6.3966, 6.3670, 6.3935
04/18/22, 6.3712, 6.3784, 6.3644, 6.3672
04/15/22, 6.3784, 6.3784, 6.3689, 6.3712
04/14/22, 6.3684, 6.3805, 6.3627, 6.3784
04/13/22, 6.3661, 6.3707, 6.3637, 6.3684
04/12/22, 6.3701, 6.3746, 6.3655, 6.3661
04/11/22, 6.3651, 6.3753, 6.3646, 6.3701
04/08/22, 6.3605, 6.3671, 6.3573, 6.3651
04/07/22, 6.3596, 6.3644, 6.3579, 6.3605
04/06/22, 6.3638, 6.3757, 6.3574, 6.3596
04/05/22, 6.3634, 6.3639, 6.3629, 6.3638
04/04/22, 6.3631, 6.3636, 6.3629, 6.3634
04/01/22, 6.3400, 6.3646, 6.3399, 6.3631
03/31/22, 6.3477, 6.3549, 6.3389, 6.3400
03/30/22, 6.3642, 6.3642, 6.3475, 6.3477
03/29/22, 6.3722, 6.3735, 6.3626, 6.3642
03/28/22, 6.3663, 6.3812, 6.3657, 6.3722
03/25/22, 6.3678, 6.3682, 6.3591, 6.3663
03/24/22, 6.3724, 6.3776, 6.3676, 6.3678
03/23/22, 6.3664, 6.3765, 6.3641, 6.3724
03/22/22, 6.3560, 6.3668, 6.3557, 6.3664
03/21/22, 6.3612, 6.3663, 6.3527, 6.3560
03/18/22, 6.3470, 6.3670, 6.3470, 6.3612
03/17/22, 6.3523, 6.3527, 6.3451, 6.3470
03/16/22, 6.3706, 6.3709, 6.3437, 6.3523
03/15/22, 6.3654, 6.3848, 6.3652, 6.3706
03/14/22, 6.3398, 6.3657, 6.3397, 6.3654
03/11/22, 6.3219, 6.3399, 6.3187, 6.3398
03/10/22, 6.3177, 6.3245, 6.3157, 6.3219
03/09/22, 6.3187, 6.3271, 6.3141, 6.3177
03/08/22, 6.3208, 6.3211, 6.3098, 6.3187
03/07/22, 6.3200, 6.3258, 6.3175, 6.3208
03/04/22, 6.3202, 6.3218, 6.3155, 6.3177
03/03/22, 6.3211, 6.3212, 6.3161, 6.3200
03/02/22, 6.3126, 6.3226, 6.3109, 6.3211
03/01/22, 6.3093, 6.3147, 6.3071, 6.3126
02/28/22, 6.3175, 6.3195, 6.3065, 6.3093
02/25/22, 6.3292, 6.3292, 6.3116, 6.3171
02/24/22, 6.3150, 6.3310, 6.3109, 6.3292
02/23/22, 6.3266, 6.3311, 6.3136, 6.3150
02/22/22, 6.3353, 6.3448, 6.3237, 6.3266
02/21/22, 6.3256, 6.3365, 6.3219, 6.3353
02/18/22, 6.3384, 6.3384, 6.3252, 6.3256
02/17/22, 6.3372, 6.3393, 6.3297, 6.3384
02/16/22, 6.3392, 6.3416, 6.3341, 6.3372
02/15/22, 6.3576, 6.3576, 6.3381, 6.3392
02/14/22, 6.3546, 6.3630, 6.3546, 6.3576
02/11/22, 6.3541, 6.3657, 6.3541, 6.3546
02/10/22, 6.3627, 6.3631, 6.3537, 6.3541
02/09/22, 6.3666, 6.3666, 6.3598, 6.3627
02/08/22, 6.3327, 6.3715, 6.3327, 6.3666
02/07/22, 6.3327, 6.3327, 6.3327, 6.3327
02/04/22, 6.3610, 6.3610, 6.3610, 6.3610
02/03/22, 6.3610, 6.3610, 6.3610, 6.3610
02/02/22, 6.3610, 6.3610, 6.3610, 6.3610
02/01/22, 6.3610, 6.3610, 6.3610, 6.3610
01/31/22, 6.3610, 6.3610, 6.3610, 6.3610
01/28/22, 6.3683, 6.3683, 6.3543, 6.3610
01/27/22, 6.3209, 6.3688, 6.3209, 6.3683
01/26/22, 6.3261, 6.3261, 6.3205, 6.3209
01/25/22, 6.3308, 6.3315, 6.3242, 6.3261
01/24/22, 6.3390, 6.3390, 6.3242, 6.3308
01/21/22, 6.3411, 6.3450, 6.3368, 6.3390
01/20/22, 6.3450, 6.3464, 6.3406, 6.3411
01/19/22, 6.3530, 6.3557, 6.3436, 6.3450
01/18/22, 6.3488, 6.3542, 6.3381, 6.3530
01/17/22, 6.3528, 6.3578, 6.3434, 6.3488
01/14/22, 6.3599, 6.3617, 6.3404, 6.3528
01/13/22, 6.3584, 6.3638, 6.3568, 6.3599
01/12/22, 6.3741, 6.3741, 6.3584, 6.3584
01/11/22, 6.3762, 6.3762, 6.3704, 6.3741
01/10/22, 6.3778, 6.3778, 6.3715, 6.3762
01/07/22, 6.3830, 6.3830, 6.3723, 6.3778
01/06/22, 6.3644, 6.3848, 6.3644, 6.3830
01/05/22, 6.3548, 6.3644, 6.3530, 6.3644
01/04/22, 6.3561, 6.3562, 6.3540, 6.3548
01/03/22, 6.3559, 6.3562, 6.3559, 6.3561
12/31/21, 6.3729, 6.3785, 6.3404, 6.3559
12/30/21, 6.3683, 6.3783, 6.3682, 6.3729
12/29/21, 6.3687, 6.3725, 6.3678, 6.3683
12/28/21, 6.3713, 6.3726, 6.3673, 6.3687
12/27/21, 6.3676, 6.3732, 6.3676, 6.3713
12/24/21, 6.3703, 6.3720, 6.3676, 6.3676
12/23/21, 6.3701, 6.3716, 6.3685, 6.3703
12/22/21, 6.3721, 6.3738, 6.3683, 6.3701
12/21/21, 6.3757, 6.3761, 6.3688, 6.3721
12/20/21, 6.3754, 6.3801, 6.3752, 6.3757
12/17/21, 6.3683, 6.3845, 6.3676, 6.3754
12/16/21, 6.3676, 6.3694, 6.3651, 6.3683
12/15/21, 6.3675, 6.3681, 6.3634, 6.3676
12/14/21, 6.3670, 6.3715, 6.3616, 6.3675
12/13/21, 6.3699, 6.3700, 6.3591, 6.3670
12/10/21, 6.3776, 6.3835, 6.3616, 6.3699
12/09/21, 6.3448, 6.3785, 6.3428, 6.3776
12/08/21, 6.3670, 6.3674, 6.3442, 6.3448
12/07/21, 6.3763, 6.3763, 6.3654, 6.3669
12/06/21, 6.3764, 6.3791, 6.3669, 6.3763
12/03/21, 6.3771, 6.3776, 6.3680, 6.3764
12/02/21, 6.3681, 6.3789, 6.3668, 6.3771
12/01/21, 6.3643, 6.3721, 6.3602, 6.3681
11/30/21, 6.3881, 6.3888, 6.3642, 6.3643
11/29/21, 6.3930, 6.3930, 6.3796, 6.3881
11/26/21, 6.3869, 6.3937, 6.3862, 6.3930
11/25/21, 6.3923, 6.3930, 6.3856, 6.3869
11/24/21, 6.3919, 6.3939, 6.3856, 6.3923
11/23/21, 6.3854, 6.3935, 6.3828, 6.3919
11/22/21, 6.3872, 6.3907, 6.3762, 6.3854
11/19/21, 6.3861, 6.3909, 6.3803, 6.3872
11/18/21, 6.3780, 6.3880, 6.3753, 6.3861
11/17/21, 6.3924, 6.3935, 6.3757, 6.3780
11/16/21, 6.3832, 6.3965, 6.3669, 6.3924
11/15/21, 6.3796, 6.3852, 6.3786, 6.3832
11/12/21, 6.3907, 6.3973, 6.3792, 6.3796
11/11/21, 6.3888, 6.4079, 6.3886, 6.3906
11/10/21, 6.3928, 6.3948, 6.3840, 6.3888
11/09/21, 6.3928, 6.3972, 6.3890, 6.3928
11/08/21, 6.3989, 6.4002, 6.3924, 6.3927
11/05/21, 6.3975, 6.4045, 6.3966, 6.3989
11/04/21, 6.4068, 6.4074, 6.3917, 6.3975
11/03/21, 6.4000, 6.4069, 6.3941, 6.4068
11/02/21, 6.3977, 6.4017, 6.3958, 6.4000
11/01/21, 6.4057, 6.4070, 6.3958, 6.3977
10/29/21, 6.3919, 6.4079, 6.3887, 6.4057
10/28/21, 6.3927, 6.4048, 6.3913, 6.3919
10/27/21, 6.3830, 6.3967, 6.3811, 6.3927
10/26/21, 6.3858, 6.3864, 6.3795, 6.3830
10/25/21, 6.3849, 6.3916, 6.3801, 6.3858
10/22/21, 6.3933, 6.4011, 6.3825, 6.3849
10/21/21, 6.3938, 6.4025, 6.3878, 6.3933
10/20/21, 6.3825, 6.3977, 6.3819, 6.3939
10/19/21, 6.4297, 6.4300, 6.3813, 6.3826
